mse,mae,rmse,precision,recall
1.7548521757125854,1.1202083826065063,1.3247084617614746,0.2734375,0.2
2.3055076599121094,1.3230817317962646,1.5183898210525513,0.15625,0.2
2.070885181427002,1.2351301908493042,1.4390569925308228,0.171875,0.2
1.9715882539749146,1.2048871517181396,1.4041327238082886,0.1953125,0.2
2.2732505798339844,1.2726778984069824,1.50773024559021,0.2421875,0.2
2.2253684997558594,1.2757031917572021,1.4917669296264648,0.203125,0.2
1.9504165649414062,1.186740517616272,1.3965731859207153,0.2421875,0.2
2.0512237548828125,1.2179903984069824,1.4322093725204468,0.25,0.2
1.9148826599121094,1.1592708826065063,1.3837928771972656,0.2578125,0.2
2.265442371368408,1.247730016708374,1.505138635635376,0.2578125,0.2
2.345581531524658,1.3182942867279053,1.531529188156128,0.1796875,0.2
2.1180076599121094,1.244956612586975,1.455337643623352,0.1953125,0.2
1.9295005798339844,1.166831612586975,1.3890646696090698,0.265625,0.2
2.3024868965148926,1.298888921737671,1.517394781112671,0.203125,0.2
2.3244094848632812,1.311740517616272,1.5246014595031738,0.2109375,0.2
2.2500648498535156,1.2993924617767334,1.5000215768814087,0.171875,0.2
2.3899388313293457,1.309726595878601,1.5459426641464233,0.203125,0.2
1.8619571924209595,1.1557421684265137,1.3645356893539429,0.234375,0.2
2.3702774047851562,1.3187978267669678,1.5395705699920654,0.1796875,0.2
1.8236500024795532,1.1562457084655762,1.3504259586334229,0.25,0.2
2.125568389892578,1.2298351526260376,1.457932949066162,0.25,0.2
1.9821698665618896,1.202365517616272,1.4078956842422485,0.21875,0.2
2.2117576599121094,1.2842708826065063,1.4871978759765625,0.1953125,0.2
2.3307156562805176,1.2938498258590698,1.5266681909561157,0.2109375,0.2
1.9615015983581543,1.2109332084655762,1.4005361795425415,0.1875,0.2
2.2523348331451416,1.2835156917572021,1.5007781982421875,0.2109375,0.2
2.023498058319092,1.223029613494873,1.4224971532821655,0.2265625,0.2
2.123298406600952,1.2457118034362793,1.4571542739868164,0.2109375,0.2
2.4138755798339844,1.3543317317962646,1.5536651611328125,0.171875,0.2
2.1719398498535156,1.2530208826065063,1.4737502336502075,0.234375,0.2
2.4506726264953613,1.345763921737671,1.565462350845337,0.1875,0.2
2.4174084663391113,1.286792516708374,1.5548018217086792,0.25,0.2
2.14447021484375,1.2452083826065063,1.4644010066986084,0.2421875,0.2
2.454956531524658,1.311237096786499,1.566830039024353,0.2421875,0.2
2.3783416748046875,1.3384549617767334,1.5421873331069946,0.171875,0.2
1.8670005798339844,1.1663281917572021,1.366382360458374,0.2265625,0.2
2.4166488647460938,1.3460156917572021,1.5545575618743896,0.171875,0.2
1.9763755798339844,1.1859853267669678,1.4058363437652588,0.2265625,0.2
2.0814669132232666,1.2482335567474365,1.4427289962768555,0.1875,0.2
2.1638755798339844,1.2489887475967407,1.471011757850647,0.234375,0.2
2.492760181427002,1.3303906917572021,1.5788477659225464,0.2421875,0.2
2.0726430416107178,1.2338672876358032,1.4396677017211914,0.203125,0.2
2.0592880249023438,1.2058942317962646,1.435021996498108,0.21875,0.2
2.001575469970703,1.2026171684265137,1.414770483970642,0.2421875,0.2
2.359943389892578,1.3502994775772095,1.5362107753753662,0.140625,0.2
2.1056594848632812,1.248737096786499,1.4510890245437622,0.203125,0.2
1.6457247734069824,1.1018099784851074,1.28285813331604,0.2421875,0.2
2.142200231552124,1.2610851526260376,1.4636257886886597,0.203125,0.2
2.1238017082214355,1.265368938446045,1.457327127456665,0.1953125,0.2
1.7946698665618896,1.1474262475967407,1.3396528959274292,0.2265625,0.2
2.091041326522827,1.2568012475967407,1.4460433721542358,0.1875,0.2
2.2485544681549072,1.2837674617767334,1.4995181560516357,0.2265625,0.2
2.2457809448242188,1.295612096786499,1.4985929727554321,0.1953125,0.2
2.1192705631256104,1.247730016708374,1.4557714462280273,0.1875,0.2
2.3483548164367676,1.286792516708374,1.5324342250823975,0.2109375,0.2
2.265186309814453,1.291831612586975,1.5050536394119263,0.2109375,0.2
2.474865436553955,1.3538281917572021,1.5731704235076904,0.1796875,0.2
2.357929229736328,1.3341710567474365,1.535555124282837,0.171875,0.2
2.0958287715911865,1.241931438446045,1.4476978778839111,0.2265625,0.2
1.817352294921875,1.1318012475967407,1.3480920791625977,0.2578125,0.2
2.0177037715911865,1.2182421684265137,1.4204590320587158,0.21875,0.2
2.235950231552124,1.3114887475967407,1.4953094720840454,0.1484375,0.2
1.8501126766204834,1.1519618034362793,1.3601884841918945,0.25,0.2
1.8274303674697876,1.1252474784851074,1.3518248796463013,0.2890625,0.2
2.079700231552124,1.256549596786499,1.442116618156433,0.15625,0.2
1.9471395015716553,1.179431438446045,1.3953994512557983,0.265625,0.2
2.5449259281158447,1.3734853267669678,1.5952824354171753,0.1875,0.2
2.038116216659546,1.2376476526260376,1.427626132965088,0.171875,0.2
1.998801827430725,1.2028690576553345,1.413789987564087,0.2265625,0.2
2.1898345947265625,1.278980016708374,1.479809045791626,0.1640625,0.2
2.108936309814453,1.2333637475967407,1.4522178173065186,0.25,0.2
2.0426559448242188,1.2326085567474365,1.4292151927947998,0.1875,0.2
2.095325231552124,1.229835033416748,1.4475239515304565,0.21875,0.2
2.3334808349609375,1.3082119226455688,1.5275734663009644,0.203125,0.2
2.001575469970703,1.229331612586975,1.414770483970642,0.1796875,0.2
1.8677515983581543,1.202868938446045,1.3666571378707886,0.171875,0.2
2.265186309814453,1.2993923425674438,1.5050536394119263,0.1875,0.2
2.1003684997558594,1.2247960567474365,1.4492648839950562,0.21875,0.2
2.116497039794922,1.2600781917572021,1.4548187255859375,0.1953125,0.2
2.1159934997558594,1.236388921737671,1.4546456336975098,0.203125,0.2
2.4196701049804688,1.3818013668060303,1.5555288791656494,0.109375,0.2
2.2021827697753906,1.2600781917572021,1.4839754104614258,0.203125,0.2
1.8236500024795532,1.163806438446045,1.3504259586334229,0.2265625,0.2
2.172443389892578,1.2837674617767334,1.4739210605621338,0.1640625,0.2
2.3896830081939697,1.3114888668060303,1.545859932899475,0.2265625,0.2
2.7535977363586426,1.4697569608688354,1.659396767616272,0.1015625,0.2
2.2614059448242188,1.3031728267669678,1.5037972927093506,0.171875,0.2
1.9476430416107178,1.2026171684265137,1.3955798149108887,0.21875,0.2
2.048706293106079,1.197326421737671,1.4313303232192993,0.25,0.2
2.2283895015716553,1.2847743034362793,1.49277925491333,0.203125,0.2
2.0769267082214355,1.2729296684265137,1.4411547183990479,0.171875,0.2
2.2475476264953613,1.2061458826065063,1.4991823434829712,0.3359375,0.2
2.1207809448242188,1.2331119775772095,1.4562901258468628,0.2265625,0.2
2.1283416748046875,1.2406728267669678,1.4588837623596191,0.2109375,0.2
2.317352294921875,1.327365517616272,1.5222852230072021,0.1796875,0.2
2.2430076599121094,1.2998958826065063,1.4976674318313599,0.1875,0.2
2.4360544681549072,1.3422353267669678,1.5607863664627075,0.1875,0.2
2.2457809448242188,1.2991406917572021,1.4985929727554321,0.1640625,0.2
1.8803555965423584,1.1711156368255615,1.371260643005371,0.2421875,0.2
1.8904337882995605,1.176154613494873,1.374930500984192,0.2578125,0.2
2.3281898498535156,1.334674596786499,1.5258407592773438,0.1640625,0.2
2.0164408683776855,1.2195008993148804,1.4200143814086914,0.234375,0.2
2.2513279914855957,1.259826421737671,1.500442624092102,0.234375,0.2
2.2523345947265625,1.2719228267669678,1.5007781982421875,0.2265625,0.2
2.1817705631256104,1.2557942867279053,1.4770818948745728,0.203125,0.2
2.092048406600952,1.2457118034362793,1.4463915824890137,0.2109375,0.2
1.9637715816497803,1.2182421684265137,1.4013464450836182,0.1953125,0.2
2.3171048164367676,1.2983853816986084,1.5222039222717285,0.1953125,0.2
2.2145309448242188,1.268394112586975,1.4881300926208496,0.21875,0.2
2.3876688480377197,1.3029210567474365,1.54520845413208,0.234375,0.2
2.5424084663391113,1.3608853816986084,1.5944931507110596,0.203125,0.2
2.156818389892578,1.2414278984069824,1.4686110019683838,0.234375,0.2
2.234943389892578,1.2726778984069824,1.4949727058410645,0.21875,0.2
2.367504119873047,1.331146001815796,1.5386695861816406,0.1875,0.2
2.3380208015441895,1.322326421737671,1.529058814048767,0.1796875,0.2
2.4496655464172363,1.3533246517181396,1.565140724182129,0.1953125,0.2
2.1709327697753906,1.2484853267669678,1.473408579826355,0.21875,0.2
1.55147123336792,1.0781207084655762,1.245580792427063,0.25,0.2
2.5663459300994873,1.3701984882354736,1.60198175907135,0.15873015873015872,0.2
