mse,mae,rmse,precision,recall,novelty
0.3771304786205292,0.4350980520248413,0.614109456539154,0.8125,0.2,0.046156883239746094
0.4960606098175049,0.46316298842430115,0.7043156623840332,0.8203125,0.2,0.022719383239746094
0.6401708722114563,0.5054105520248413,0.8001068234443665,0.8125,0.2,0.024155616760253906
0.420820415019989,0.4411678910255432,0.6487067341804504,0.8359375,0.2,0.053969383239746094
0.5276108384132385,0.47446078062057495,0.7263683080673218,0.7734375,0.25,0.016343116760253906
0.5620458722114563,0.4869007468223572,0.749697208404541,0.78125,0.25,0.024155616760253906
0.5684159994125366,0.5025257468223572,0.7539336681365967,0.78125,0.2,0.039780616760253906
0.436445415019989,0.45042282342910767,0.6606401801109314,0.8515625,0.2,0.053969383239746094
0.4086807370185852,0.46490564942359924,0.6392813920974731,0.796875,0.25,0.007094383239746094
0.358320415019989,0.4272855520248413,0.5985986590385437,0.8125,0.2,0.053969383239746094
0.458740770816803,0.4773455858230591,0.6773040294647217,0.8046875,0.25,0.0007181167602539062
0.4928755462169647,0.4646053910255432,0.702051043510437,0.8359375,0.25,0.030531883239746094
0.24864515662193298,0.4021053910255432,0.49864333868026733,0.8359375,0.3333333333333333,0.0930318832397461
0.6184760332107544,0.5149657130241394,0.7864324450492859,0.7890625,0.2,0.047593116760253906
0.373945415019989,0.43191301822662354,0.611510694026947,0.8203125,0.2,0.053969383239746094
0.646841287612915,0.5277059078216553,0.8042644262313843,0.7578125,0.2,0.0788431167602539
0.4240054488182068,0.4489803910255432,0.651157021522522,0.8359375,0.2,0.046156883239746094
0.6624661684036255,0.5277059078216553,0.8139203190803528,0.7578125,0.2,0.0788431167602539
0.295820415019989,0.4226580858230591,0.5438937544822693,0.8046875,0.25,0.053969383239746094
0.34558022022247314,0.42842769622802734,0.5878607034683228,0.8671875,0.25,0.0852193832397461
0.7122260332107544,0.5242205858230591,0.8439348340034485,0.8046875,0.2,0.047593116760253906
0.3643902838230133,0.4316127300262451,0.6036474704742432,0.859375,0.25,0.0774068832397461
0.6057357788085938,0.4975980520248413,0.7782903909683228,0.8125,0.25,0.016343116760253906
0.41156554222106934,0.44753801822662354,0.6415336728096008,0.8203125,0.2,0.038344383239746094
0.23909002542495728,0.38792282342910767,0.4889683127403259,0.8515625,0.25,0.1164693832397461
0.3458804488182068,0.4443529546260834,0.5881160497665405,0.828125,0.3333333333333333,0.046156883239746094
0.8569368124008179,0.6029461026191711,0.9257088303565979,0.7265625,0.2,0.1725931167602539
0.45237064361572266,0.46172061562538147,0.6725850701332092,0.8046875,0.2,0.014906883239746094
0.7498461604118347,0.5352181196212769,0.8659365773200989,0.796875,0.2,0.0632181167602539
0.6121059656143188,0.5039681196212769,0.7823721170425415,0.796875,0.2,0.031968116760253906
0.20814025402069092,0.39459314942359924,0.4562239348888397,0.796875,0.3333333333333333,0.0774068832397461
0.33055567741394043,0.4463958442211151,0.5749397277832031,0.765625,0.25,0.007094383239746094
0.420820415019989,0.44579535722732544,0.6487067937850952,0.84375,0.2,0.053969383239746094
0.587526261806488,0.5216360092163086,0.7665026783943176,0.734375,0.2,0.0866556167602539
0.3866856098175049,0.44928067922592163,0.6218405365943909,0.796875,0.25,0.022719383239746094
0.7157113552093506,0.538703441619873,0.8459972739219666,0.75,0.2,0.0944681167602539
0.5027309060096741,0.4854583442211151,0.709035336971283,0.765625,0.25,0.031968116760253906
0.5339809656143188,0.4854583442211151,0.730739951133728,0.765625,0.2,0.031968116760253906
0.5901108384132385,0.4975980520248413,0.7681867480278015,0.8125,0.2,0.016343116760253906
0.4182358384132385,0.4652059078216553,0.646711528301239,0.7578125,0.2,0.016343116760253906
