mse,mae,rmse,precision,recall,diversity,novelty
1.51156747341156,1.015570044517517,1.229458212852478,0.265625,0.2,0.2603429204200961,0.11227250099182129
1.9015092849731445,1.1431375741958618,1.3789523839950562,0.25,0.2,0.08695954129957495,0.05758500099182129
1.7777655124664307,1.0688912868499756,1.3333288431167603,0.3046875,0.2,0.11392184558118146,0.02053999900817871
1.6813931465148926,1.0903894901275635,1.2966854572296143,0.25,0.2,0.21722641356101102,0.05178999900817871
1.6443250179290771,1.0480762720108032,1.2823123931884766,0.296875,0.2,0.19054086667568482,0.01852250099182129
1.883261799812317,1.121639370918274,1.3723199367523193,0.2734375,0.2,0.08103111321567547,0.02633500099182129
1.6917730569839478,1.0721418857574463,1.3006818294525146,0.265625,0.2,0.19995519724294097,0.11428999900817871
1.7022631168365479,1.0715137720108032,1.3047080039978027,0.28125,0.2,0.17222832310406988,0.010710000991821289
1.8690032958984375,1.1425094604492188,1.3671149015426636,0.2421875,0.2,0.10248402912093602,0.1357100009918213
1.9315030574798584,1.1366362571716309,1.3897852897644043,0.2734375,0.2,0.04469097875523109,0.1357100009918213
1.5993893146514893,1.0311400890350342,1.26466965675354,0.3125,0.2,0.20787061083141134,0.004914999008178711
1.835703730583191,1.1170774698257446,1.3548815250396729,0.2578125,0.2,0.12268302509025686,0.02835249900817871
1.7152656316757202,1.0780149698257446,1.3096815347671509,0.28125,0.2,0.17124552368818113,0.02053999900817871
1.8813225030899048,1.1105762720108032,1.3716131448745728,0.28125,0.2,0.06958510146892638,0.04977250099182129
1.564833641052246,1.0389524698257446,1.2509331703186035,0.265625,0.2,0.2630153293478601,0.09085249900817871
1.930136799812317,1.1281406879425049,1.3892936706542969,0.2890625,0.2,0.04760428546730289,0.02633500099182129
1.7914512157440186,1.0890781879425049,1.3384511470794678,0.296875,0.2,0.11778145132072415,0.002897500991821289
1.618893027305603,1.012892484664917,1.2723573446273804,0.3359375,0.2,0.17979206088559374,0.05178999900817871
1.5843374729156494,1.0239557027816772,1.258704662322998,0.296875,0.2,0.23446740714333658,0.1377274990081787
1.5035899877548218,1.0330793857574463,1.2262096405029297,0.2578125,0.2,0.3134057525058336,0.1689774990081787
1.5348399877548218,0.9933337569236755,1.2388865947723389,0.34375,0.2,0.23619146741436192,0.1689774990081787
1.6176369190216064,1.0246386528015137,1.271863579750061,0.3125,0.2,0.18719468809332596,0.02633500099182129
1.7315738201141357,1.0793262720108032,1.3158928155899048,0.2890625,0.2,0.1517217062262799,0.03414750099182129
1.5700788497924805,1.0415750741958618,1.2530277967453003,0.2578125,0.2,0.2563896953073026,0.02835249900817871
1.8506455421447754,1.116394281387329,1.3603843450546265,0.296875,0.2,0.10513376982301714,0.08303999900817871
1.8715155124664307,1.1248900890350342,1.368033528327942,0.2578125,0.2,0.10215438076322747,0.02053999900817871
2.13143253326416,1.1848225593566895,1.4599426984786987,0.28125,0.2,-0.07634598251486957,0.2372725009918213
1.379846215248108,1.0115811824798584,1.174668550491333,0.2578125,0.2,0.39404613069011585,0.2471024990081787
1.73545241355896,1.0858275890350342,1.3173657655715942,0.28125,0.2,0.1615462404381397,0.012727499008178711
1.6650848388671875,1.03695809841156,1.290381669998169,0.34375,0.2,0.16765780654506968,0.10647749900817871
1.6631455421447754,1.0565168857574463,1.2896300554275513,0.2890625,0.2,0.1977611239367667,0.08303999900817871
1.674208641052246,1.0643293857574463,1.2939121723175049,0.28125,0.2,0.19886917431447337,0.09085249900817871
1.6280168294906616,1.0376412868499756,1.2759376764297485,0.3125,0.2,0.19605845033853608,0.03616499900817871
1.6573275327682495,1.0389525890350342,1.287372350692749,0.3046875,0.2,0.17649057797815682,0.012727499008178711
1.8227012157440186,1.1353249549865723,1.3500745296478271,0.2265625,0.2,0.15073954758683583,0.002897500991821289
1.8676369190216064,1.1431374549865723,1.3666151762008667,0.234375,0.2,0.11940356963205867,0.02633500099182129
1.5851306915283203,1.0331343412399292,1.2590197324752808,0.28125,0.2,0.21672540971373722,0.10446000099182129
1.4932100772857666,0.9679569005966187,1.221969723701477,0.359375,0.2,0.2354495657827811,0.10647749900817871
1.507578730583191,1.004451870918274,1.2278350591659546,0.3046875,0.2,0.25909655499421635,0.02835249900817871
1.9197568893432617,1.1490106582641602,1.385553002357483,0.234375,0.2,0.07982048010183429,0.08883500099182129
1.81357741355896,1.1170774698257446,1.346691370010376,0.265625,0.2,0.13353441361648377,0.012727499008178711
1.5987062454223633,1.0265781879425049,1.264399528503418,0.296875,0.2,0.21703443947503176,0.05960249900817871
1.7328300476074219,1.042831301689148,1.3163700103759766,0.34375,0.2,0.11724535593785768,0.04397749900817871
